city_name,province_name,value,date
天津市,天津市,19.73,20200101
保定市,河北省,11.9,20200101
衡水市,河北省,9.86,20200101
廊坊市,河北省,9.72,20200101
北京市,北京市,8.73,20200101
德州市,山东省,6.85,20200101
石家庄市,河北省,6.02,20200101
滨州市,山东省,2.87,20200101
唐山市,河北省,2.59,20200101
邢台市,河北省,1.49,20200101
邯郸市,河北省,1.26,20200101
济南市,山东省,0.98,20200101
秦皇岛市,河北省,0.72,20200101
张家口市,河北省,0.62,20200101
潍坊市,山东省,0.6,20200101
晋中市,山西省,0.57,20200101
聊城市,山东省,0.53,20200101
东营市,山东省,0.47,20200101
承德市,河北省,0.41,20200101
青岛市,山东省,0.41,20200101
济宁市,山东省,0.35,20200101
忻州市,山西省,0.35,20200101
郑州市,河南省,0.33,20200101
淄博市,山东省,0.32,20200101
上海市,上海市,0.27,20200101
临沂市,山东省,0.27,20200101
沈阳市,辽宁省,0.27,20200101
大同市,山西省,0.27,20200101
太原市,山西省,0.26,20200101
菏泽市,山东省,0.26,20200101
哈尔滨市,黑龙江省,0.23,20200101
西安市,陕西省,0.22,20200101
烟台市,山东省,0.22,20200101
赤峰市,内蒙古自治区,0.2,20200101
长春市,吉林省,0.2,20200101
泰安市,山东省,0.2,20200101
鄂尔多斯市,内蒙古自治区,0.18,20200101
徐州市,江苏省,0.18,20200101
濮阳市,河南省,0.17,20200101
安阳市,河南省,0.17,20200101
成都市,四川省,0.15,20200101
苏州市,江苏省,0.15,20200101
南京市,江苏省,0.14,20200101
葫芦岛市,辽宁省,0.14,20200101
长治市,山西省,0.14,20200101
合肥市,安徽省,0.14,20200101
大连市,辽宁省,0.14,20200101
武汉市,湖北省,0.14,20200101
无锡市,江苏省,0.13,20200101
新乡市,河南省,0.13,20200101
天津市,天津市,16.39,20200102
北京市,北京市,10.9,20200102
石家庄市,河北省,9.28,20200102
保定市,河北省,7.66,20200102
廊坊市,河北省,6.79,20200102
衡水市,河北省,6.16,20200102
德州市,山东省,4.25,20200102
唐山市,河北省,2.57,20200102
邢台市,河北省,1.96,20200102
滨州市,山东省,1.79,20200102
邯郸市,河北省,1.74,20200102
秦皇岛市,河北省,1.26,20200102
济南市,山东省,1.24,20200102
晋中市,山西省,1.06,20200102
张家口市,河北省,1.03,20200102
青岛市,山东省,0.78,20200102
聊城市,山东省,0.73,20200102
承德市,河北省,0.7,20200102
潍坊市,山东省,0.69,20200102
沈阳市,辽宁省,0.62,20200102
东营市,山东省,0.53,20200102
上海市,上海市,0.52,20200102
郑州市,河南省,0.49,20200102
济宁市,山东省,0.49,20200102
西安市,陕西省,0.49,20200102
临沂市,山东省,0.49,20200102
淄博市,山东省,0.48,20200102
长春市,吉林省,0.4,20200102
哈尔滨市,黑龙江省,0.38,20200102
菏泽市,山东省,0.38,20200102
苏州市,江苏省,0.38,20200102
大连市,辽宁省,0.37,20200102
烟台市,山东省,0.36,20200102
泰安市,山东省,0.36,20200102
太原市,山西省,0.34,20200102
赤峰市,内蒙古自治区,0.34,20200102
成都市,四川省,0.29,20200102
忻州市,山西省,0.28,20200102
合肥市,安徽省,0.27,20200102
杭州市,浙江省,0.27,20200102
大同市,山西省,0.27,20200102
武汉市,湖北省,0.26,20200102
威海市,山东省,0.26,20200102
无锡市,江苏省,0.25,20200102
濮阳市,河南省,0.25,20200102
徐州市,江苏省,0.25,20200102
广州市,广东省,0.23,20200102
南京市,江苏省,0.23,20200102
锦州市,辽宁省,0.21,20200102
新乡市,河南省,0.2,20200102
天津市,天津市,19.03,20200103
北京市,北京市,12.97,20200103
保定市,河北省,8.53,20200103
石家庄市,河北省,8.2,20200103
廊坊市,河北省,7.43,20200103
衡水市,河北省,6.51,20200103
德州市,山东省,5.71,20200103
唐山市,河北省,2.93,20200103
滨州市,山东省,2.1,20200103
邢台市,河北省,1.72,20200103
邯郸市,河北省,1.42,20200103
济南市,山东省,1.1,20200103
张家口市,河北省,1.07,20200103
秦皇岛市,河北省,0.89,20200103
晋中市,山西省,0.7,20200103
承德市,河北省,0.67,20200103
潍坊市,山东省,0.62,20200103
青岛市,山东省,0.61,20200103
聊城市,山东省,0.55,20200103
东营市,山东省,0.51,20200103
淄博市,山东省,0.4,20200103
上海市,上海市,0.4,20200103
西安市,陕西省,0.37,20200103
郑州市,河南省,0.36,20200103
济宁市,山东省,0.36,20200103
临沂市,山东省,0.34,20200103
沈阳市,辽宁省,0.34,20200103
哈尔滨市,黑龙江省,0.33,20200103
忻州市,山西省,0.3,20200103
菏泽市,山东省,0.3,20200103
烟台市,山东省,0.29,20200103
长春市,吉林省,0.28,20200103
太原市,山西省,0.27,20200103
赤峰市,内蒙古自治区,0.25,20200103
濮阳市,河南省,0.24,20200103
大同市,山西省,0.24,20200103
泰安市,山东省,0.22,20200103
新乡市,河南省,0.2,20200103
苏州市,江苏省,0.2,20200103
锦州市,辽宁省,0.2,20200103
南京市,江苏省,0.19,20200103
徐州市,江苏省,0.19,20200103
大连市,辽宁省,0.19,20200103
朔州市,山西省,0.18,20200103
成都市,四川省,0.18,20200103
吕梁市,山西省,0.17,20200103
无锡市,江苏省,0.16,20200103
鄂尔多斯市,内蒙古自治区,0.16,20200103
榆林市,陕西省,0.16,20200103
安阳市,河南省,0.16,20200103
天津市,天津市,20.02,20200104
保定市,河北省,10.66,20200104
北京市,北京市,9.42,20200104
廊坊市,河北省,8.75,20200104
衡水市,河北省,7.84,20200104
石家庄市,河北省,7.7,20200104
德州市,山东省,5.41,20200104
唐山市,河北省,2.84,20200104
滨州市,山东省,2.4,20200104
邢台市,河北省,1.59,20200104
邯郸市,河北省,1.19,20200104
张家口市,河北省,1.02,20200104
济南市,山东省,1.02,20200104
秦皇岛市,河北省,0.85,20200104
潍坊市,山东省,0.69,20200104
承德市,河北省,0.66,20200104
青岛市,山东省,0.6,20200104
聊城市,山东省,0.57,20200104
东营市,山东省,0.54,20200104
郑州市,河南省,0.42,20200104
晋中市,山西省,0.42,20200104
上海市,上海市,0.4,20200104
淄博市,山东省,0.37,20200104
西安市,陕西省,0.35,20200104
哈尔滨市,黑龙江省,0.34,20200104
临沂市,山东省,0.33,20200104
烟台市,山东省,0.33,20200104
沈阳市,辽宁省,0.31,20200104
忻州市,山西省,0.29,20200104
苏州市,江苏省,0.27,20200104
济宁市,山东省,0.27,20200104
太原市,山西省,0.24,20200104
菏泽市,山东省,0.23,20200104
长春市,吉林省,0.23,20200104
徐州市,江苏省,0.2,20200104
大连市,辽宁省,0.19,20200104
濮阳市,河南省,0.19,20200104
赤峰市,内蒙古自治区,0.19,20200104
合肥市,安徽省,0.18,20200104
武汉市,湖北省,0.18,20200104
无锡市,江苏省,0.18,20200104
泰安市,山东省,0.18,20200104
大同市,山西省,0.17,20200104
榆林市,陕西省,0.17,20200104
南京市,江苏省,0.17,20200104
鞍山市,辽宁省,0.17,20200104
新乡市,河南省,0.15,20200104
成都市,四川省,0.15,20200104
宁波市,浙江省,0.15,20200104
呼和浩特市,内蒙古自治区,0.15,20200104
天津市,天津市,20.34,20200105
保定市,河北省,10.73,20200105
廊坊市,河北省,9.26,20200105
北京市,北京市,8.98,20200105
衡水市,河北省,8.06,20200105
石家庄市,河北省,6.87,20200105
德州市,山东省,5.98,20200105
唐山市,河北省,2.88,20200105
滨州市,山东省,2.42,20200105
邢台市,河北省,1.68,20200105
邯郸市,河北省,1.05,20200105
济南市,山东省,1.03,20200105
秦皇岛市,河北省,0.97,20200105
张家口市,河北省,0.76,20200105
潍坊市,山东省,0.75,20200105
承德市,河北省,0.74,20200105
青岛市,山东省,0.65,20200105
东营市,山东省,0.58,20200105
聊城市,山东省,0.56,20200105
上海市,上海市,0.47,20200105
淄博市,山东省,0.41,20200105
沈阳市,辽宁省,0.4,20200105
临沂市,山东省,0.4,20200105
西安市,陕西省,0.39,20200105
郑州市,河南省,0.38,20200105
济宁市,山东省,0.37,20200105
烟台市,山东省,0.33,20200105
哈尔滨市,黑龙江省,0.32,20200105
菏泽市,山东省,0.3,20200105
长春市,吉林省,0.26,20200105
徐州市,江苏省,0.25,20200105
泰安市,山东省,0.23,20200105
赤峰市,内蒙古自治区,0.23,20200105
杭州市,浙江省,0.23,20200105
太原市,山西省,0.23,20200105
苏州市,江苏省,0.23,20200105
南京市,江苏省,0.22,20200105
成都市,四川省,0.2,20200105
大连市,辽宁省,0.2,20200105
忻州市,山西省,0.19,20200105
武汉市,湖北省,0.19,20200105
合肥市,安徽省,0.16,20200105
广州市,广东省,0.16,20200105
重庆市,重庆市,0.16,20200105
濮阳市,河南省,0.15,20200105
榆林市,陕西省,0.15,20200105
新乡市,河南省,0.15,20200105
晋中市,山西省,0.14,20200105
无锡市,江苏省,0.14,20200105
宁波市,浙江省,0.13,20200105
天津市,天津市,18.39,20200106
保定市,河北省,8.96,20200106
石家庄市,河北省,8.75,20200106
北京市,北京市,8.67,20200106
廊坊市,河北省,7.66,20200106
衡水市,河北省,7.46,20200106
德州市,山东省,5.9,20200106
唐山市,河北省,3.12,20200106
滨州市,山东省,2.54,20200106
邢台市,河北省,1.97,20200106
秦皇岛市,河北省,1.38,20200106
济南市,山东省,1.06,20200106
承德市,河北省,1.04,20200106
邯郸市,河北省,0.92,20200106
张家口市,河北省,0.88,20200106
潍坊市,山东省,0.69,20200106
东营市,山东省,0.62,20200106
青岛市,山东省,0.62,20200106
上海市,上海市,0.54,20200106
西安市,陕西省,0.44,20200106
聊城市,山东省,0.43,20200106
郑州市,河南省,0.43,20200106
太原市,山西省,0.39,20200106
哈尔滨市,黑龙江省,0.38,20200106
临沂市,山东省,0.38,20200106
沈阳市,辽宁省,0.37,20200106
淄博市,山东省,0.36,20200106
烟台市,山东省,0.35,20200106
济宁市,山东省,0.29,20200106
长春市,吉林省,0.29,20200106
忻州市,山西省,0.28,20200106
晋中市,山西省,0.28,20200106
苏州市,江苏省,0.28,20200106
成都市,四川省,0.28,20200106
武汉市,湖北省,0.25,20200106
南京市,江苏省,0.25,20200106
威海市,山东省,0.25,20200106
徐州市,江苏省,0.24,20200106
杭州市,浙江省,0.24,20200106
大连市,辽宁省,0.23,20200106
合肥市,安徽省,0.23,20200106
广州市,广东省,0.23,20200106
菏泽市,山东省,0.23,20200106
赤峰市,内蒙古自治区,0.22,20200106
泰安市,山东省,0.22,20200106
无锡市,江苏省,0.21,20200106
重庆市,重庆市,0.21,20200106
长沙市,湖南省,0.2,20200106
新乡市,河南省,0.17,20200106
宁波市,浙江省,0.17,20200106
天津市,天津市,17.01,20200107
保定市,河北省,10.47,20200107
石家庄市,河北省,9.32,20200107
北京市,北京市,8.98,20200107
廊坊市,河北省,8.55,20200107
衡水市,河北省,6.62,20200107
德州市,山东省,4.52,20200107
唐山市,河北省,3.83,20200107
滨州市,山东省,2.08,20200107
秦皇岛市,河北省,1.79,20200107
邢台市,河北省,1.61,20200107
承德市,河北省,1.33,20200107
张家口市,河北省,1.1,20200107
济南市,山东省,1.01,20200107
邯郸市,河北省,0.96,20200107
上海市,上海市,0.54,20200107
青岛市,山东省,0.47,20200107
沈阳市,辽宁省,0.46,20200107
西安市,陕西省,0.45,20200107
潍坊市,山东省,0.42,20200107
东营市,山东省,0.41,20200107
长春市,吉林省,0.4,20200107
淄博市,山东省,0.39,20200107
郑州市,河南省,0.39,20200107
武汉市,湖北省,0.38,20200107
聊城市,山东省,0.38,20200107
哈尔滨市,黑龙江省,0.37,20200107
成都市,四川省,0.35,20200107
榆林市,陕西省,0.34,20200107
烟台市,山东省,0.31,20200107
赤峰市,内蒙古自治区,0.3,20200107
苏州市,江苏省,0.3,20200107
大连市,辽宁省,0.29,20200107
大同市,山西省,0.27,20200107
太原市,山西省,0.27,20200107
临沂市,山东省,0.27,20200107
乌鲁木齐市,新疆维吾尔自治区,0.24,20200107
广州市,广东省,0.23,20200107
忻州市,山西省,0.23,20200107
杭州市,浙江省,0.23,20200107
葫芦岛市,辽宁省,0.23,20200107
南京市,江苏省,0.23,20200107
晋中市,山西省,0.22,20200107
徐州市,江苏省,0.21,20200107
济宁市,山东省,0.21,20200107
无锡市,江苏省,0.21,20200107
重庆市,重庆市,0.2,20200107
昆明市,云南省,0.18,20200107
呼和浩特市,内蒙古自治区,0.17,20200107
合肥市,安徽省,0.17,20200107
天津市,天津市,15.98,20200108
保定市,河北省,10.82,20200108
